arm_name,model,source_run,episode_set,model_saw_vocabulary,operating_point_kind,sweep_source,reference_threshold,n_episodes,proposal_rate,n_covered,n_unfaithful,model_panel_size,coverage,risk,risk_upper95_one_sided,n_beyond_comparator,n_unfaithful_beyond_comparator,risk_upper95_beyond_comparator,n_comparator_episodes_missed,is_strict_superset_of_comparator_coverage,aurc,aurc_common,comparator_aurc_common,aurc_common_minus_comparator,aurc_ranking_valid,support_lo,support_hi,risk_at_comparator_max_coverage,comparator_arm,comparator_max_coverage,comparator_risk_at_own_coverage,beats_comparator,frontier_verdict
factorial:decoder_confidence:advisory:s0,anthropic/claude-sonnet-5,runs_recal,main_study_codebook,n/a: hashed codebook has no command vocabulary,fixed_point,none: the arm's own recorded decision,,500,0.646,323,72,5,0.646,0.22291021671826625,0.2643769613553018,,,,,False,,,,,,,,,,,,,n/a: different episode set from the comparator
factorial:decoder_confidence:advisory:s0,deepseek/deepseek-v4-flash,runs_recal,main_study_codebook,n/a: hashed codebook has no command vocabulary,fixed_point,none: the arm's own recorded decision,,1065,0.9971830985915493,1062,321,5,0.9971830985915493,0.3022598870056497,0.32629868845427973,,,,,False,,,,,,,,,,,,,n/a: different episode set from the comparator
factorial:decoder_confidence:advisory:s0,google/gemini-3.7-flash,runs_recal,main_study_codebook,n/a: hashed codebook has no command vocabulary,fixed_point,none: the arm's own recorded decision,,1065,0.7061032863849765,752,140,5,0.7061032863849765,0.18617021276595744,0.21108480559410803,,,,,False,,,,,,,,,,,,,n/a: different episode set from the comparator
factorial:decoder_confidence:advisory:s0,openai/gpt-5.6-luna,runs_recal,main_study_codebook,n/a: hashed codebook has no command vocabulary,fixed_point,none: the arm's own recorded decision,,1065,1.0,1065,321,5,1.0,0.30140845070422534,0.3253954451249753,,,,,False,,,,,,,,,,,,,n/a: different episode set from the comparator
factorial:decoder_confidence:advisory:s0,z-ai/glm-5.3-flash,runs_recal,main_study_codebook,n/a: hashed codebook has no command vocabulary,fixed_point,none: the arm's own recorded decision,,1065,0.6938967136150235,739,147,5,0.6938967136150235,0.19891745602165087,0.22462492158465053,,,,,False,,,,,,,,,,,,,n/a: different episode set from the comparator
factorial:decoder_confidence:advisory:s0,anthropic/claude-sonnet-5,runs_natural,naturalistic_200,no,fixed_point,none: the arm's own recorded decision,,200,0.62,124,0,5,0.62,0.0,0.02386963543559245,0.0,0.0,,64.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
factorial:decoder_confidence:advisory:s0,deepseek/deepseek-v4-flash,runs_natural,naturalistic_200,no,fixed_point,none: the arm's own recorded decision,,200,0.895,179,4,5,0.895,0.0223463687150838,0.05040430222355668,4.0,1.0,0.7513953742698181,13.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (worse risk at the same coverage)
factorial:decoder_confidence:advisory:s0,google/gemini-3.7-flash,runs_natural,naturalistic_200,no,fixed_point,none: the arm's own recorded decision,,200,0.74,148,0,5,0.74,0.0,0.02003795168910416,2.0,0.0,0.776393202250021,42.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
factorial:decoder_confidence:advisory:s0,openai/gpt-5.6-luna,runs_natural,naturalistic_200,no,fixed_point,none: the arm's own recorded decision,,200,0.715,143,0,5,0.715,0.0,0.020731267064000962,0.0,0.0,,45.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
factorial:decoder_confidence:advisory:s0,z-ai/glm-5.3-flash,runs_natural,naturalistic_200,no,fixed_point,none: the arm's own recorded decision,,200,0.78,156,0,5,0.78,0.0,0.019020201125919445,1.0,0.0,0.95,33.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
factorial:decoder_confidence:enforced:s0,anthropic/claude-sonnet-5,runs_natural,naturalistic_200,no,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.67,134,0,5,0.67,0.0,0.022108162822640925,0.0,0.0,,54.0,False,0.0,0.0,0.0,0.0,False,0.0,0.67,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
factorial:decoder_confidence:enforced:s0,deepseek/deepseek-v4-flash,runs_natural,naturalistic_200,no,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.88,176,3,5,0.88,0.017045454545454586,0.043463076604352315,3.0,0.0,0.6315968501359612,15.0,False,0.005900201460818118,0.005900201460818119,0.0,0.005900201460818119,False,0.0,0.88,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (worse risk at the same coverage)
factorial:decoder_confidence:enforced:s0,google/gemini-3.7-flash,runs_natural,naturalistic_200,no,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.895,179,1,5,0.895,0.005586592178770999,0.026226492561680668,4.0,0.0,0.527129195498412,13.0,False,0.0010185447259537786,0.0010185447259537786,0.0,0.0010185447259537786,False,0.0,0.895,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (worse risk at the same coverage)
factorial:decoder_confidence:enforced:s0,openai/gpt-5.6-luna,runs_natural,naturalistic_200,no,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.675,135,0,5,0.675,0.0,0.02194620899648649,0.0,0.0,,53.0,False,0.0,0.0,0.0,0.0,False,0.0,0.675,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
factorial:decoder_confidence:enforced:s0,z-ai/glm-5.3-flash,runs_natural,naturalistic_200,no,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.86,172,0,5,0.86,0.0,0.017266248086044517,4.0,0.0,0.527129195498412,20.0,False,0.0,0.0,0.0,0.0,False,0.0,0.86,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
factorial:none:advisory:s0,anthropic/claude-sonnet-5,runs_natural,naturalistic_200,no,fixed_point,none: the arm's own recorded decision,,200,0.695,139,0,5,0.695,0.0,0.021321445229927013,1.0,0.0,0.95,50.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
factorial:none:advisory:s0,deepseek/deepseek-v4-flash,runs_natural,naturalistic_200,no,fixed_point,none: the arm's own recorded decision,,200,0.855,171,4,5,0.855,0.023391812865497075,0.052726693139548,3.0,0.0,0.6315968501359612,20.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (worse risk at the same coverage)
factorial:none:advisory:s0,google/gemini-3.7-flash,runs_natural,naturalistic_200,no,fixed_point,none: the arm's own recorded decision,,200,0.885,177,1,5,0.885,0.005649717514124294,0.026519706929971933,5.0,1.0,0.6574083180011386,16.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (worse risk at the same coverage)
factorial:none:advisory:s0,openai/gpt-5.6-luna,runs_natural,naturalistic_200,no,fixed_point,none: the arm's own recorded decision,,200,0.695,139,0,5,0.695,0.0,0.021321445229927013,0.0,0.0,,49.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
factorial:none:advisory:s0,z-ai/glm-5.3-flash,runs_natural,naturalistic_200,no,fixed_point,none: the arm's own recorded decision,,200,0.86,172,0,5,0.86,0.0,0.017266248086044517,5.0,0.0,0.450719728346941,21.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:exact_resolver_gate,,runs_semantic_fair,naturalistic_200,n/a: not an LLM arm,swept_curve,"semantic_fair_resolver_curves.csv (resolver_gate_curve, Task 2)",0.0,200,0.66,132,0,1,0.66,0.0,0.022439348489406666,0.0,0.0,,56.0,False,0.0,0.0,0.0,0.0,False,0.0,0.66,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:hybrid_semantic_gate,anthropic/claude-sonnet-5,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.995,199,0,10,0.995,0.0,0.014941187058895251,11.0,0.0,0.2384041903808526,0.0,True,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,exceeds the comparator's frontier (higher coverage at no more risk)
fair:hybrid_semantic_gate,deepseek/deepseek-v4-flash,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.98,196,6,10,0.98,0.030612244897959218,0.05952267138846574,11.0,4.0,0.6501884654280824,3.0,False,0.010801756379787048,0.009750731918372132,0.0,0.009750731918372132,False,0.0,0.94,0.02322853942024925,fair:lexical_resolver_gate,0.94,,,"higher coverage than the comparator reaches, but at higher risk"
fair:hybrid_semantic_gate,google/gemini-3.7-flash,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,1.0,200,0,10,1.0,0.0,0.014867039231272054,12.0,0.0,0.22092219194555585,0.0,True,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,exceeds the comparator's frontier (higher coverage at no more risk)
