value,context,found_in,status
1,"manuscript.md: m control **Authors:** Alon Gorenshtein, MD^1,2,\*^; Mahmud Omar, MD^2,3^; Eric Jia^4^; Yo",cost_envelope.csv:price_in (tol=exact),MATCHED
2,"manuscript.md: control **Authors:** Alon Gorenshtein, MD^1,2,\*^; Mahmud Omar, MD^2,3^; Eric Jia^4^; Yose",cost_envelope.csv:price_in (tol=exact),MATCHED
2,"manuscript.md: lon Gorenshtein, MD^1,2,\*^; Mahmud Omar, MD^2,3^; Eric Jia^4^; Yosef Adiniaev^2^; Oved Dan",cost_envelope.csv:price_in (tol=exact),MATCHED
3,"manuscript.md: n Gorenshtein, MD^1,2,\*^; Mahmud Omar, MD^2,3^; Eric Jia^4^; Yosef Adiniaev^2^; Oved Danie",cost_envelope.csv:price_in (tol=exact),MATCHED
4,"manuscript.md: , MD^1,2,\*^; Mahmud Omar, MD^2,3^; Eric Jia^4^; Yosef Adiniaev^2^; Oved Daniel, MD^5^; Jon",cost_envelope.csv:price_out (tol=exact),MATCHED
2,"manuscript.md: d Omar, MD^2,3^; Eric Jia^4^; Yosef Adiniaev^2^; Oved Daniel, MD^5^; Jonathan Kruskal^6^; M",cost_envelope.csv:price_in (tol=exact),MATCHED
5,"manuscript.md: c Jia^4^; Yosef Adiniaev^2^; Oved Daniel, MD^5^; Jonathan Kruskal^6^; Muneeb Ahmed^6^; Olga",followup_dataset_inventory.csv:models (tol=exact),MATCHED
6,"manuscript.md: aev^2^; Oved Daniel, MD^5^; Jonathan Kruskal^6^; Muneeb Ahmed^6^; Olga Brook^6^; Eyal Klang",followup_dataset_inventory.csv:cells (tol=exact),MATCHED
6,"manuscript.md: el, MD^5^; Jonathan Kruskal^6^; Muneeb Ahmed^6^; Olga Brook^6^; Eyal Klang, MD^2,6^; Yiftac",followup_dataset_inventory.csv:cells (tol=exact),MATCHED
6,"manuscript.md: than Kruskal^6^; Muneeb Ahmed^6^; Olga Brook^6^; Eyal Klang, MD^2,6^; Yiftach Barash^6^ **",followup_dataset_inventory.csv:cells (tol=exact),MATCHED
2,"manuscript.md: neeb Ahmed^6^; Olga Brook^6^; Eyal Klang, MD^2,6^; Yiftach Barash^6^ **Affiliations:** 1.",cost_envelope.csv:price_in (tol=exact),MATCHED
6,"manuscript.md: eb Ahmed^6^; Olga Brook^6^; Eyal Klang, MD^2,6^; Yiftach Barash^6^ **Affiliations:** 1. D",followup_dataset_inventory.csv:cells (tol=exact),MATCHED
6,"manuscript.md: rook^6^; Eyal Klang, MD^2,6^; Yiftach Barash^6^ **Affiliations:** 1. Department of Neurol",followup_dataset_inventory.csv:cells (tol=exact),MATCHED
1,"manuscript.md: ^2,6^; Yiftach Barash^6^ **Affiliations:** 1. Department of Neurology, Beth Israel Deacon",cost_envelope.csv:price_in (tol=exact),MATCHED
2,"manuscript.md: ter, Harvard Medical School, Boston, MA, USA 2. BRIDGE GenAI Lab, Beth Israel Deaconess Med",cost_envelope.csv:price_in (tol=exact),MATCHED
3,"manuscript.md: el Deaconess Medical Center, Boston, MA, USA 3. The Windreich Department of Artificial Inte",cost_envelope.csv:price_in (tol=exact),MATCHED
4,"manuscript.md: Health, Mount Sinai Medical Center, NY, USA 4. Northwestern University Feinberg School of",cost_envelope.csv:price_out (tol=exact),MATCHED
5,"manuscript.md: einberg School of Medicine, Chicago, IL, USA 5. Neurology Division, Tel Aviv Sourasky Unive",followup_dataset_inventory.csv:models (tol=exact),MATCHED
6,"manuscript.md: University Medical Center, Tel Aviv, Israel 6. Department of Radiology, Beth Israel Deacon",followup_dataset_inventory.csv:cells (tol=exact),MATCHED
330,"manuscript.md: ness Medical Center, Harvard Medical School, 330 Brookline Avenue, Boston, MA 02215, USA. Ema",run_manifest.json.principal_run.model_episode_subsets.anthropic/claude-sonnet-5.n_clean (tol=exact),MATCHED
02215,"manuscript.md: cal School, 330 Brookline Avenue, Boston, MA 02215, USA. Email: agorensh@bidmc.harvard.edu ##",cost_probe.json.results[1].episodes[2].prompt_tokens (tol=1pct-relative),MATCHED
"1,065","manuscript.md: d this at the brain-computer interface using 1,065 episodes from 47 people with amyotrophic lat",efigure2_recalibration_paired.csv:n_shared_episodes (tol=exact),MATCHED
47,"manuscript.md: computer interface using 1,065 episodes from 47 people with amyotrophic lateral sclerosis an",efigure2_recalibration_paired.csv:n_participants (tol=exact),MATCHED
22,manuscript.md: cantly worse. Apparent safety gains of up to 22 percentage points reflected acting less ofte,followup_semantic_fair_cells.csv:n_comparator_episodes_missed (tol=exact),MATCHED
300,manuscript.md: control in agentic neurotechnology. --- P300 spellers restore a communication channel to,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
1,"manuscript.md: ain-computer interface (BCI) for text entry.[1,2] Implanted systems have carried the same g",IGNORED: CITATION_MARKER,IGNORED
2,"manuscript.md: n-computer interface (BCI) for text entry.[1,2] Implanted systems have carried the same goa",IGNORED: CITATION_MARKER,IGNORED
12,manuscript.md: phic lateral sclerosis in a locked-in state.[12] Accuracy is nonetheless bounded: in the lar,IGNORED: CITATION_MARKER,IGNORED
300,"manuscript.md: nonetheless bounded: in the largest public P300 corpus recorded in that population, online s",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
0.816,"manuscript.md: pulation, online selection accuracy averages 0.816 and falls below 0.50 in a minority of partic",secondary_caution_battery.csv:unsafe (tol=display-rounding),MATCHED
0.50,manuscript.md: tion accuracy averages 0.816 and falls below 0.50 in a minority of participants.[3] A decoding,cost_envelope.csv:price_in (tol=exact),MATCHED
3,manuscript.md: ls below 0.50 in a minority of participants.[3] A decoding error has historically been loca,IGNORED: CITATION_MARKER,IGNORED
17,"manuscript.md: nerating recommendations to executing tasks.[17,18] Assistive neurotechnology is an especial",IGNORED: CITATION_MARKER,IGNORED
18,"manuscript.md: ating recommendations to executing tasks.[17,18] Assistive neurotechnology is an especially",IGNORED: CITATION_MARKER,IGNORED
15,"manuscript.md: interface adaptation, and affective support,[15] and language models already contribute to d",IGNORED: CITATION_MARKER,IGNORED
4,"manuscript.md: ibute to decoding in speech neuroprostheses.[4,5] Non-language copilots have separately bee",IGNORED: CITATION_MARKER,IGNORED
5,"manuscript.md: ute to decoding in speech neuroprostheses.[4,5] Non-language copilots have separately been",IGNORED: CITATION_MARKER,IGNORED
16,"manuscript.md: , including in a participant with paralysis.[16] To our knowledge, no study has tested a too",IGNORED: CITATION_MARKER,IGNORED
6,"manuscript.md: and machine as the central design variable,[6,7] and selective prediction offers an establ",IGNORED: CITATION_MARKER,IGNORED
7,"manuscript.md: nd machine as the central design variable,[6,7] and selective prediction offers an establis",IGNORED: CITATION_MARKER,IGNORED
8,"manuscript.md: lism for declining to act under uncertainty.[8,9] Agent-safety evaluations have separately",IGNORED: CITATION_MARKER,IGNORED
9,"manuscript.md: sm for declining to act under uncertainty.[8,9] Agent-safety evaluations have separately ch",IGNORED: CITATION_MARKER,IGNORED
10,"manuscript.md: d harmful tool use by language-model agents.[10,11] These literatures have not been joined w",IGNORED: CITATION_MARKER,IGNORED
11,"manuscript.md: armful tool use by language-model agents.[10,11] These literatures have not been joined wher",IGNORED: CITATION_MARKER,IGNORED
19,manuscript.md: internal confidence to regulate abstention.[19] Whether an agent should similarly be delega,IGNORED: CITATION_MARKER,IGNORED
300,manuscript.md: a computational benchmark study on a public P300 corpus recorded in participants with amyotro,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
1,manuscript.md: and uncertainty-aware action layers (Figure 1a) across five current-generation language mo,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
28,"manuscript.md: pre-specified datasets were executed between 28 and 31 August 2026, producing 50,230 episode",followup_semantic_fair_cells.csv:n_comparator_episodes_missed (tol=exact),MATCHED
31,"manuscript.md: cified datasets were executed between 28 and 31 August 2026, producing 50,230 episode runs a",IGNORED: DATE_TOKEN,IGNORED
2026,"manuscript.md: asets were executed between 28 and 31 August 2026, producing 50,230 episode runs and 141,879 t",IGNORED: DATE_TOKEN,IGNORED
"50,230","manuscript.md: ted between 28 and 31 August 2026, producing 50,230 episode runs and 141,879 tool-calling reques",followup_dataset_inventory.csv:episode runs (tol=exact),MATCHED
"141,879","manuscript.md: gust 2026, producing 50,230 episode runs and 141,879 tool-calling requests across five models at",followup_dataset_inventory.csv:API requests (tol=exact),MATCHED
$86.62,"manuscript.md: across five models at a measured cost of US $86.62; a seventh, the post-hoc fair-information co",followup_dataset_inventory.csv:measured cost (US $) (tol=2x-display-rounding),MATCHED
"6,400","manuscript.md: hoc fair-information comparison below, added 6,400 runs and 14,336 requests (400 model-free) ac",semantic_fair_dataset_inventory.csv:episode runs (tol=exact),MATCHED
"14,336","manuscript.md: ation comparison below, added 6,400 runs and 14,336 requests (400 model-free) across ten models",semantic_fair_dataset_inventory.csv:API requests (tol=exact),MATCHED
400,"manuscript.md: below, added 6,400 runs and 14,336 requests (400 model-free) across ten models at US $19.46.",number_audit_enumeration_claims.csv:stated_count (tol=exact),MATCHED
$19.46,manuscript.md: sts (400 model-free) across ten models at US $19.46. Every request was served by its pinned endp,semantic_fair_dataset_inventory.csv:measured cost (US $) (tol=exact),MATCHED
"1,065","manuscript.md: primary dataset ran the headline arms on all 1,065 primary-eligible episodes from 47 participan",efigure2_recalibration_paired.csv:n_shared_episodes (tol=exact),MATCHED
47,"manuscript.md: on all 1,065 primary-eligible episodes from 47 participants, at the pool's own decoding-err",efigure2_recalibration_paired.csv:n_participants (tol=exact),MATCHED
0.341,"manuscript.md: the pool's own decoding-error prevalence of 0.341 (363 error-bearing, 702 clean). Absolute rat",episode_confidence_per_episode.csv:product (tol=display-rounding),MATCHED
363,"manuscript.md: ol's own decoding-error prevalence of 0.341 (363 error-bearing, 702 clean). Absolute rates he",primary_abstention_mechanism.csv:n (tol=exact),MATCHED
702,"manuscript.md: rror prevalence of 0.341 (363 error-bearing, 702 clean). Absolute rates here are benchmark ri",naturalistic_manifest.json.donor_pool.n_clean (tol=exact),MATCHED
5,"manuscript.md: n environment is constructed. *claude-sonnet-5* ran on a prospectively frozen, error-strati",IGNORED: VERSION_SLUG,IGNORED
500,"manuscript.md: on a prospectively frozen, error-stratified 500-episode subset (170 error-bearing, 46 partic",efigure2_recalibration_paired.csv:n_shared_episodes (tol=exact),MATCHED
170,"manuscript.md: frozen, error-stratified 500-episode subset (170 error-bearing, 46 participants), used in eve",number_audit_enumeration_claims.csv:stated_count (tol=exact),MATCHED
46,"manuscript.md: ified 500-episode subset (170 error-bearing, 46 participants), used in every condition, beca",efigure2_recalibration_paired.csv:n_participants (tol=exact),MATCHED
100,"manuscript.md: eded the prespecified projection. A separate 100-episode dataset, stratified 50:50 on decodin",followup_dataset_inventory.csv:episodes (tol=exact),MATCHED
50,"manuscript.md: . A separate 100-episode dataset, stratified 50:50 on decoding error, carries the full 34-ce",followup_task13_confirmation.csv:executed (tol=exact),MATCHED
50,"manuscript.md: separate 100-episode dataset, stratified 50:50 on decoding error, carries the full 34-cell",followup_task13_confirmation.csv:executed (tol=exact),MATCHED
34,"manuscript.md: ed 50:50 on decoding error, carries the full 34-cell factorial and is exploratory below. Tw",followup_dataset_inventory.csv:cells (tol=exact),MATCHED
20,manuscript.md: factorial and is exploratory below. Two of 20 model-by-cell combinations exceeded the pre-,followup_semantic_fair_cells.csv:n_comparator_episodes_missed (tol=exact),MATCHED
15%,manuscript.md: cell combinations exceeded the pre-specified 15% parse-failure limit: the decoder-confidence,cost_envelope.csv:price_out (tol=exact),MATCHED
3.7,manuscript.md: decoder-confidence advisory cell in *gemini-3.7-flash* (0.308) and *glm-5.3-flash* (0.206).,IGNORED: VERSION_SLUG,IGNORED
0.308,manuscript.md: fidence advisory cell in *gemini-3.7-flash* (0.308) and *glm-5.3-flash* (0.206). Both were labe,followup_task19_recalibration.csv:parse failure (tol=exact),MATCHED
5.3,manuscript.md: cell in *gemini-3.7-flash* (0.308) and *glm-5.3-flash* (0.206). Both were labelled rather th,IGNORED: VERSION_SLUG,IGNORED
0.206,"manuscript.md: mini-3.7-flash* (0.308) and *glm-5.3-flash* (0.206). Both were labelled rather than removed, an",episode_confidence_per_episode.csv:product (tol=display-rounding),MATCHED
10,"manuscript.md: rm's own coverage.** Dominance failed in all 10 model-by-arm combinations tested (Figure 1b,",cost_envelope.csv:price_out (tol=exact),MATCHED
1,"manuscript.md: 10 model-by-arm combinations tested (Figure 1b, Figure 2, eTable 3a). Two combinations we",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
2,"manuscript.md: y-arm combinations tested (Figure 1b, Figure 2, eTable 3a). Two combinations were signific",IGNORED: SECTION_LABEL,IGNORED
3,"manuscript.md: inations tested (Figure 1b, Figure 2, eTable 3a). Two combinations were significantly wors",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
