arm_name,model,coverage,risk,n_covered,n_unfaithful,beats_comparator,frontier_verdict,n_beyond_comparator,n_unfaithful_beyond_comparator,n_comparator_episodes_missed,risk_upper95_one_sided,risk_upper95_beyond_comparator
fair:llm_vocab:advisory,anthropic/claude-sonnet-5,0.825,0.0,165,0,False,dominated by the comparator (it reaches higher coverage at no more risk),5.0,0.0,28.0,0.017992126828005,0.450719728346941
fair:llm_vocab:advisory,deepseek/deepseek-v4-flash,0.975,0.0102564102564102,195,2,,"higher coverage than the comparator reaches, but at higher risk",10.0,0.0,3.0,0.0319323272475198,0.2588655508930522
fair:llm_vocab:advisory,google/gemini-3.7-flash,0.94,0.0,188,0,False,"matches the comparator exactly (same coverage, same risk)",11.0,0.0,11.0,0.0158084597390544,0.2384041903808526
fair:llm_vocab:advisory,mistralai/mistral-medium-3-5,0.975,0.0461538461538461,195,9,,"higher coverage than the comparator reaches, but at higher risk",9.0,1.0,2.0,0.0791561873026486,0.4291355470314344
fair:llm_vocab:advisory,moonshotai/kimi-k3,0.925,0.0,185,0,False,dominated by the comparator (it reaches higher coverage at no more risk),8.0,0.0,11.0,0.0160627432463684,0.3123439780663678
fair:llm_vocab:advisory,nvidia/nemotron-3.5-lightning,0.865,0.0578034682080924,173,10,False,dominated by the comparator (worse risk at the same coverage),7.0,3.0,22.0,0.0960749132943277,0.7746784159675522
fair:llm_vocab:advisory,openai/gpt-5.6-luna,0.93,0.0,186,0,False,dominated by the comparator (it reaches higher coverage at no more risk),7.0,0.0,9.0,0.0159770780063682,0.3481636551311607
fair:llm_vocab:advisory,qwen/qwen3.8-max-0902,0.755,0.0,151,0,False,dominated by the comparator (it reaches higher coverage at no more risk),1.0,0.0,38.0,0.0196437829526516,0.95
fair:llm_vocab:advisory,x-ai/grok-4.6,0.865,0.0,173,0,False,dominated by the comparator (it reaches higher coverage at no more risk),5.0,0.0,20.0,0.0171673048336524,0.450719728346941
fair:llm_vocab:advisory,z-ai/glm-5.3-flash,0.91,0.0,182,0,False,dominated by the comparator (it reaches higher coverage at no more risk),7.0,0.0,13.0,0.0163253407434114,0.3481636551311607
fair:llm_vocab:enforced,anthropic/claude-sonnet-5,0.875,0.0,175,0,False,dominated by the comparator (it reaches higher coverage at no more risk),6.0,0.0,19.0,0.0169727816307112,0.3930377689970826
fair:llm_vocab:enforced,deepseek/deepseek-v4-flash,0.98,0.0,196,0,,exceeds the comparator's frontier (higher coverage at no more risk),9.0,0.0,1.0,0.0151681355148855,0.2831288355631134
fair:llm_vocab:enforced,google/gemini-3.7-flash,1.0,0.0,200,0,,exceeds the comparator's frontier (higher coverage at no more risk),12.0,0.0,0.0,0.014867039231272,0.2209221919455558
fair:llm_vocab:enforced,mistralai/mistral-medium-3-5,0.98,0.0561224489795918,196,11,,"higher coverage than the comparator reaches, but at higher risk",9.0,0.0,1.0,0.0911863382245271,0.2831288355631134
fair:llm_vocab:enforced,moonshotai/kimi-k3,0.97,0.0,194,0,,exceeds the comparator's frontier (higher coverage at no more risk),8.0,0.0,2.0,0.0153233038387326,0.3123439780663678
fair:llm_vocab:enforced,nvidia/nemotron-3.5-lightning,0.88,0.0454545454545454,176,8,False,dominated by the comparator (worse risk at the same coverage),5.0,1.0,17.0,0.0805186312187061,0.6574083180011386
fair:llm_vocab:enforced,openai/gpt-5.6-luna,0.88,0.0,176,0,False,dominated by the comparator (it reaches higher coverage at no more risk),5.0,0.0,17.0,0.0168771637870664,0.450719728346941
fair:llm_vocab:enforced,qwen/qwen3.8-max-0902,0.955,0.0,191,0,,exceeds the comparator's frontier (higher coverage at no more risk),9.0,0.0,6.0,0.0155621015439399,0.2831288355631134
fair:llm_vocab:enforced,x-ai/grok-4.6,0.995,0.0,199,0,,exceeds the comparator's frontier (higher coverage at no more risk),12.0,0.0,1.0,0.0149411870588952,0.2209221919455558
fair:llm_vocab:enforced,z-ai/glm-5.3-flash,0.91,0.0,182,0,False,dominated by the comparator (it reaches higher coverage at no more risk),8.0,0.0,14.0,0.0163253407434114,0.3123439780663678
fair:hybrid_semantic_gate,anthropic/claude-sonnet-5,0.995,0.0,199,0,,exceeds the comparator's frontier (higher coverage at no more risk),11.0,0.0,0.0,0.0149411870588952,0.2384041903808526
fair:hybrid_semantic_gate,deepseek/deepseek-v4-flash,0.98,0.0306122448979592,196,6,,"higher coverage than the comparator reaches, but at higher risk",11.0,4.0,3.0,0.0595226713884657,0.6501884654280824
fair:hybrid_semantic_gate,google/gemini-3.7-flash,1.0,0.0,200,0,,exceeds the comparator's frontier (higher coverage at no more risk),12.0,0.0,0.0,0.014867039231272,0.2209221919455558
fair:hybrid_semantic_gate,mistralai/mistral-medium-3-5,0.955,0.0157068062827224,191,3,,"higher coverage than the comparator reaches, but at higher risk",7.0,0.0,4.0,0.0400923622781882,0.3481636551311607
fair:hybrid_semantic_gate,moonshotai/kimi-k3,0.935,0.0,187,0,False,dominated by the comparator (it reaches higher coverage at no more risk),4.0,0.0,5.0,0.0158923216330368,0.527129195498412
fair:hybrid_semantic_gate,nvidia/nemotron-3.5-lightning,0.97,0.0618556701030927,194,12,,"higher coverage than the comparator reaches, but at higher risk",11.0,4.0,5.0,0.0982941204152629,0.6501884654280824
fair:hybrid_semantic_gate,openai/gpt-5.6-luna,0.995,0.0,199,0,,exceeds the comparator's frontier (higher coverage at no more risk),11.0,0.0,0.0,0.0149411870588952,0.2384041903808526
fair:hybrid_semantic_gate,qwen/qwen3.8-max-0902,0.915,0.0,183,0,False,dominated by the comparator (it reaches higher coverage at no more risk),9.0,0.0,14.0,0.0162368594351012,0.2831288355631134
fair:hybrid_semantic_gate,x-ai/grok-4.6,1.0,0.0,200,0,,exceeds the comparator's frontier (higher coverage at no more risk),12.0,0.0,0.0,0.014867039231272,0.2209221919455558
fair:hybrid_semantic_gate,z-ai/glm-5.3-flash,0.99,0.0,198,0,,exceeds the comparator's frontier (higher coverage at no more risk),11.0,0.0,1.0,0.0150160781887609,0.2384041903808526
