stated_count,sentence,document
5,"Here we show, on 1,065 episodes from 47 participants with amyotrophic lateral sclerosis in a public P300 speller corpus, that prompt-supplied confidence never lowered unfaithful execution below a deterministic gate on the same value at matched coverage, in five current-generation models; two were si",manuscript.md
10,"A post-hoc comparison gave ten models a lexical resolver's nine commands: none reduced risk below the resolver's zero, but a hybrid architecture, in which a gate alone admits the model's proposed semantic correction, extended coverage past the resolver's ceiling at zero observed risk in half the pan",manuscript.md
5,"We conducted a computational benchmark study on a public P300 corpus recorded in participants with amyotrophic lateral sclerosis, comparing uncertainty-blind and uncertainty-aware action layers (Figure 1a) across five current-generation language models, with unfaithful execution at matched action co",manuscript.md
6,"---

## Results

### Runs and Analysed Sample

Six pre-specified datasets were executed between 28 and 31 August 2026, producing 50,230 episode runs and 141,879 tool-calling requests across five models at a measured cost of US $86.62; a seventh, the post-hoc fair-information comparison below, added ",manuscript.md
47,"The primary dataset ran the headline arms on all 1,065 primary-eligible episodes from 47 participants, at the pool's own decoding-error prevalence of 0.341 (363 error-bearing, 702 clean).",manuscript.md
1,"*claude-sonnet-5* ran on a prospectively frozen, error-stratified 500-episode subset (170 error-bearing, 46 participants), used in every one of its conditions, because its measured API cost exceeded the prespecified projection.",manuscript.md
2,Two of 20 model-by-cell combinations exceeded the pre-specified 15% parse-failure limit: the decoder-confidence advisory cell in *gemini-3.7-flash* (0.308) and *glm-5.3-flash* (0.206).,manuscript.md
10,"### AI Agents Turned BCI Decoder Errors into Executed Actions

**No LLM arm achieved lower unfaithful execution than a plain threshold on the same calibrated confidence, evaluated at the arm's own coverage.** Dominance failed in all 10 model-by-arm combinations tested (Figure 1b, Figure 2, eTable 3a",manuscript.md
3,"The severity-aware endpoint, an admitted tier 3 action the true string does not entail, occurred in 1,651 of 21,170 episode runs (0.078): 0.049 under advisory control with decoder confidence and 0.084 in each of the other three arms, tracking overall unfaithful execution rather than separating from ",manuscript.md
2,"The two models whose bare rates did not move were also the two whose coverage did not move, so the apparent benefit is accounted for by acting less often.",manuscript.md
2,"**Two of the three models that declined to act frequently did so by failing to emit a valid tool call rather than by calling `abstain` (Figure 3).** Among error-bearing episodes under advisory control with decoder confidence, *gemini-3.7-flash* declined on 70.0%, 15.7 percentage points of them expli",manuscript.md
