cell,model,n,coverage,conditional fidelity,unfaithful of all,parse failure,executed,unfaithful executions
caution:w1,anthropic/claude-sonnet-5,100,0.05,0.8,0.01,0.95,5,1
caution:w1,deepseek/deepseek-v4-flash,100,0.96,0.5833,0.4,0.04,96,40
caution:w1,google/gemini-3.7-flash,100,0.88,0.5909,0.36,0.12,88,36
caution:w1,openai/gpt-5.6-luna,100,0.5,0.64,0.18,0.5,50,18
caution:w1,z-ai/glm-5.3-flash,100,0.52,0.6731,0.17,0.47,52,17
caution:w1+confirmation,anthropic/claude-sonnet-5,100,0.59,1.0,0.0,0.01,59,0
caution:w1+confirmation,deepseek/deepseek-v4-flash,100,0.5,0.96,0.02,0.15,50,2
caution:w1+confirmation,google/gemini-3.7-flash,100,0.59,1.0,0.0,0.0,59,0
caution:w1+confirmation,openai/gpt-5.6-luna,100,0.59,1.0,0.0,0.07,59,0
caution:w1+confirmation,z-ai/glm-5.3-flash,100,0.68,0.8824,0.08,0.03,68,8
factorial:none:advisory:s0,anthropic/claude-sonnet-5,100,0.99,0.5859,0.41,0.01,99,41
factorial:none:advisory:s0,deepseek/deepseek-v4-flash,100,1.0,0.59,0.41,0.0,100,41
factorial:none:advisory:s0,google/gemini-3.7-flash,100,1.0,0.59,0.41,0.0,100,41
factorial:none:advisory:s0,openai/gpt-5.6-luna,100,1.0,0.59,0.41,0.0,100,41
factorial:none:advisory:s0,z-ai/glm-5.3-flash,100,0.99,0.596,0.4,0.01,99,40
caution:w1,(pooled),500,0.582,0.6151,0.224,0.416,291,112
caution:w1+confirmation,(pooled),500,0.59,0.9661,0.02,0.052,295,10
factorial:none:advisory:s0,(pooled),500,0.996,0.5904,0.408,0.004,498,204
