model,cell,repetition,n,coverage,conditional fidelity,unfaithful of all,parse failure,executed,unfaithful executions
anthropic/claude-sonnet-5,factorial:decoder_confidence:advisory:s0,0,100,0.51,0.7059,0.15,0.09,51,15
anthropic/claude-sonnet-5,factorial:decoder_confidence:advisory:s0,1,100,0.49,0.7347,0.13,0.06,49,13
anthropic/claude-sonnet-5,factorial:decoder_confidence:advisory:s0,2,100,0.46,0.7391,0.12,0.13,46,12
anthropic/claude-sonnet-5,factorial:none:advisory:s0,0,100,0.99,0.5859,0.41,0.01,99,41
anthropic/claude-sonnet-5,factorial:none:advisory:s0,1,100,0.99,0.5859,0.41,0.01,99,41
anthropic/claude-sonnet-5,factorial:none:advisory:s0,2,100,1.0,0.59,0.41,0.0,100,41
deepseek/deepseek-v4-flash,factorial:decoder_confidence:advisory:s0,0,100,1.0,0.59,0.41,0.0,100,41
deepseek/deepseek-v4-flash,factorial:decoder_confidence:advisory:s0,1,100,1.0,0.59,0.41,0.0,100,41
deepseek/deepseek-v4-flash,factorial:decoder_confidence:advisory:s0,2,100,0.99,0.5859,0.41,0.01,99,41
deepseek/deepseek-v4-flash,factorial:none:advisory:s0,0,100,1.0,0.59,0.41,0.0,100,41
deepseek/deepseek-v4-flash,factorial:none:advisory:s0,1,100,0.99,0.5859,0.41,0.01,99,41
deepseek/deepseek-v4-flash,factorial:none:advisory:s0,2,100,1.0,0.59,0.41,0.0,100,41
google/gemini-3.7-flash,factorial:decoder_confidence:advisory:s0,0,100,0.54,0.7778,0.12,0.35,54,12
google/gemini-3.7-flash,factorial:decoder_confidence:advisory:s0,1,100,0.51,0.8039,0.1,0.38,51,10
google/gemini-3.7-flash,factorial:decoder_confidence:advisory:s0,2,100,0.52,0.7885,0.11,0.36,52,11
google/gemini-3.7-flash,factorial:none:advisory:s0,0,100,1.0,0.59,0.41,0.0,100,41
google/gemini-3.7-flash,factorial:none:advisory:s0,1,100,1.0,0.59,0.41,0.0,100,41
google/gemini-3.7-flash,factorial:none:advisory:s0,2,100,1.0,0.59,0.41,0.0,100,41
openai/gpt-5.6-luna,factorial:decoder_confidence:advisory:s0,0,100,1.0,0.59,0.41,0.0,100,41
openai/gpt-5.6-luna,factorial:decoder_confidence:advisory:s0,1,100,1.0,0.59,0.41,0.0,100,41
openai/gpt-5.6-luna,factorial:decoder_confidence:advisory:s0,2,100,1.0,0.59,0.41,0.0,100,41
openai/gpt-5.6-luna,factorial:none:advisory:s0,0,100,1.0,0.59,0.41,0.0,100,41
openai/gpt-5.6-luna,factorial:none:advisory:s0,1,100,1.0,0.59,0.41,0.0,100,41
openai/gpt-5.6-luna,factorial:none:advisory:s0,2,100,1.0,0.59,0.41,0.0,100,41
z-ai/glm-5.3-flash,factorial:decoder_confidence:advisory:s0,0,100,0.49,0.7347,0.13,0.31,49,13
z-ai/glm-5.3-flash,factorial:decoder_confidence:advisory:s0,1,100,0.5,0.76,0.12,0.21,50,12
z-ai/glm-5.3-flash,factorial:decoder_confidence:advisory:s0,2,100,0.52,0.75,0.13,0.25,52,13
z-ai/glm-5.3-flash,factorial:none:advisory:s0,0,100,0.99,0.5859,0.41,0.0,99,41
z-ai/glm-5.3-flash,factorial:none:advisory:s0,1,100,0.99,0.596,0.4,0.0,99,40
z-ai/glm-5.3-flash,factorial:none:advisory:s0,2,100,0.99,0.5859,0.41,0.0,99,41
